version,description,installed_on,success,checksum,execution_time
20240125191922,initial,2024-02-04 15:07:07.730797 +00:00,true,0xCD296D759BCF807477216840ACD1D8AF26430E8CE39C23ACFD0096B4BEDEB20309ECC4902F83A09DB7D2A4C27CFC5B58,20015199
20240204185914,add aggregated views,2024-02-04 19:47:25.297996 +00:00,true,0x47EEBDD458AD003B57118DC766C8B5B73FA5961D99540C80140022539DF169F1A039FC8B00EB1C943231F1EAABCC0B7E,178171738
